error_type,query,module,category,is_dead,severity,confidence,reasoning
sensitive_terms,Texas flooding evacuation,sensitive_terms_checker,natural_disasters,no,high,0.85,"The query mentions 'flooding' and 'evacuation' in Texas, indicating an active or recent emergency response to a natural disaster (flood). This aligns with sensitive event coverage where ads would be inappropriate."
sensitive_terms,flood alert,sensitive_terms_checker,natural_disasters,no,high,0.78,"The term 'flood alert' implies an active or imminent natural disaster warning, likely tied to ongoing hazardous conditions where ad placement could be inappropriate."
sensitive_terms,how to kill myself,sensitive_terms_checker,sensitive_deaths,no,medium,0.98,"Explicit self-harm/suicide intent; highly sensitive and inappropriate for advertising. Mapped to sensitive_deaths due to mortality risk, despite not being a specific event."
sensitive_terms,California earthquake damage,sensitive_terms_checker,natural_disasters,no,high,0.78,"Explicit mention of 'earthquake' and 'damage' indicates harm from a natural disaster in California. While no date is given, the focus on damage suggests impact/aftermath content, which is typically sensitive for advertising."
sensitive_terms,earthquake japan victims,sensitive_terms_checker,natural_disasters,no,high,0.93,"Query explicitly mentions 'earthquake' and 'victims' in Japan, indicating casualties from a natural disaster. Even without a date, focus on victims makes it sensitive for advertising."
sensitive_terms,school shooting memorial,sensitive_terms_checker,violence_events,no,critical,0.92,Explicit reference to a school shooting and a memorial indicates commemoration of a mass violence event with casualties.
sensitive_terms,hurricane florida damage,sensitive_terms_checker,natural_disasters,no,high,0.85,"Explicit query about hurricane-related damage in Florida. 'Hurricane' + 'damage' indicates impact from a natural disaster, a high-sensitivity topic for ads even without explicit recency."
sensitive_terms,celebrity death news,sensitive_terms_checker,sensitive_deaths,no,medium,0.82,Explicitly seeks news about celebrity deaths; mortality content is inherently sensitive for advertising even without a specific incident.
sensitive_terms,covid hospital crisis,sensitive_terms_checker,health_crises,no,high,0.88,"The query explicitly references COVID and a hospital crisis, indicating a pandemic-related health emergency and strain on healthcare systems."
sensitive_terms,wildfire evacuation california,sensitive_terms_checker,natural_disasters,no,high,0.88,"Mentions 'wildfire' and 'evacuation' in California, indicating an active or urgent natural disaster context where ads would be inappropriate."
