error_type,query,module,offending_string,matched_token,category,is_dead,severity,confidence,reasoning
SA blocklist,eric clapton,gossip,eric clapton cocaine,cocaine,drugs,no,,,
SA blocklist,carolyn bessette-kennedy,gossip,carolyn bessette-kennedy death photos,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,carolyn bessette-kennedy,gossip,carolyn bessette-kennedy death photos,death photos,violence_trauma_or_extremism,no,,,
SA blocklist,carolyn bessette-kennedy,alsoTrySouth,carolyn bessette-kennedy death photos,death photo,violence_trauma_or_extremism,no,,,
SA blocklist,carolyn bessette-kennedy,alsoTrySouth,carolyn bessette-kennedy death photos,death photos,violence_trauma_or_extremism,no,,,
SA blocklist,wednesday season 2 cast,gossip,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTrySouth,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,wednesday season 2 cast,alsoTryEast,wednesday season 2 cast serial killer,serial,illegal_activities,no,,,
SA blocklist,nascar driver falls,alsoTrySouth,nascar driver suicide,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,emma navarro,gossip,emma navarro bikini pictures images,bikini,sexual_or_explicit,no,,,
SA blocklist,thiago seyboth wild,gossip,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,thiago seyboth wild,alsoTryEast,thiago seyboth wild nazi,nazi,conspiracy_or_extreme_beliefs,no,,,
SA blocklist,gig young,gossip,gig young murder-suicide images,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,gig young,alsoTrySouth,gig young murder-suicide images,suicide,violence_trauma_or_extremism,no,,,
SA blocklist,resurrection cast,alsoTrySouth,iron resurrection cast amanda martin bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,joan collins today,gossip,joan collins today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,joan collins today,alsoTrySouth,joan collins today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,joan collins today,alsoTryEast,joan collins today bikini,bikini,sexual_or_explicit,no,,,
SA blocklist,kylie jenner,gossip,kylie jenner breast implants,breast,sexual_or_explicit,no,,,
SA blocklist,kylie jenner,peopleAlsoAsk,Did Kylie Jenner wear a black bikini?,bikini,sexual_or_explicit,no,,,
SA blocklist,yaahoo search,alsoTrySouth,remove yahoo search,remove yahoo,platform_circumvention,no,,,
death check,jeffrey louis starr,context,"The term is likely trending because ""Bad News Bears"" actor Jeffrey Louis Starr has died at age 61.",death_pattern,recent_death,yes,,,
death check,bobby whitlock,context,"The term ""bobby whitlock"" is likely trending because Bobby Whitlock, founder of Derek and the Dominos, has died at age 77.",death_pattern,recent_death,yes,,,
death check,brandon blackstock death,context,"The term is likely trending because Brandon Blackstock, Kelly Clarkson’s ex-husband and former manager, has died at age 48.",death_pattern,recent_death,yes,,,
relevance,crusaders vs reds,kgBrowseSports,"query is crusaders vs reds, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
relevance,crusaders vs reds highlights,kgBrowseSports,"query is crusaders vs reds highlights, but kgBrowseSports title is Cincinnati Reds",irrelevant,off topic,no,,,
